Date/Time;17/03/2025;10:23:50.041;BEAM_PROFILE_X
Distance (μm);Intensity (cnts)
0;88
9,9;82
19,8;78
29,7;80
39,6;82
49,5;70
59,4;79
69,3;77
79,2;75
89,1;73
99;78
108,9;73
118,8;73
128,7;75
138,6;79
148,5;70
158,4;77
168,3;75
178,2;74
188,1;73
198;76
207,9;72
217,8;68
227,7;69
237,6;76
247,5;77
257,4;72
267,3;81
277,2;73
287,1;65
297;74
306,9;68
316,8;71
326,7;70
336,6;69
346,5;80
356,4;63
366,3;70
376,2;61
386,1;69
396;74
405,9;73
415,8;82
425,7;71
435,6;75
445,5;74
455,4;72
465,3;67
475,2;68
485,1;67
495;71
504,9;68
514,8;68
524,7;74
534,6;67
544,5;72
554,4;68
564,3;68
574,2;62
584,1;79
594;70
603,9;72
613,8;68
623,7;72
633,6;69
643,5;64
653,4;72
663,3;62
673,2;75
683,1;57
693;71
702,9;64
712,8;74
722,7;68
732,6;65
742,5;67
752,4;63
762,3;74
772,2;68
782,1;65
792;73
801,9;62
811,8;69
821,7;67
831,6;68
841,5;68
851,4;63
861,3;71
871,2;66
881,1;72
891;56
900,9;66
910,8;64
920,7;62
930,6;65
940,5;64
950,4;70
960,3;65
970,2;66
980,1;69
990;61
999,9;71
1009,8;69
1019,7;68
1029,6;57
1039,5;65
1049,4;65
1059,3;70
1069,2;69
1079,1;64
1089;63
1098,9;68
1108,8;71
1118,7;60
1128,6;69
1138,5;63
1148,4;67
1158,3;71
1168,2;68
1178,1;69
1188;59
1197,9;70
1207,8;73
1217,7;68
1227,6;70
1237,5;68
1247,4;60
1257,3;70
1267,2;62
1277,1;66
1287;63
1296,9;72
1306,8;64
1316,7;63
1326,6;56
1336,5;64
1346,4;70
1356,3;56
1366,2;71
1376,1;56
1386;68
1395,9;57
1405,8;65
1415,7;62
1425,6;68
1435,5;61
1445,4;67
1455,3;70
1465,2;57
1475,1;69
1485;68
1494,9;66
1504,8;59
1514,7;72
1524,6;59
1534,5;65
1544,4;66
1554,3;66
1564,2;66
1574,1;59
1584;65
1593,9;65
1603,8;61
1613,7;65
1623,6;65
1633,5;64
1643,4;59
1653,3;59
1663,2;64
1673,1;68
1683;59
1692,9;67
1702,8;61
1712,7;65
1722,6;60
1732,5;56
1742,4;69
1752,3;61
1762,2;61
1772,1;61
1782;70
1791,9;59
1801,8;56
1811,7;56
1821,6;66
1831,5;63
1841,4;66
1851,3;72
1861,2;64
1871,1;65
1881;62
1890,9;60
1900,8;55
1910,7;63
1920,6;61
1930,5;66
1940,4;64
1950,3;64
1960,2;67
1970,1;48
1980;66
1989,9;64
1999,8;59
2009,7;58
2019,6;60
2029,5;63
2039,4;61
2049,3;73
2059,2;67
2069,1;63
2079;63
2088,9;64
2098,8;66
2108,7;65
2118,6;59
2128,5;66
2138,4;57
2148,3;61
2158,2;65
2168,1;65
2178;63
2187,9;59
2197,8;66
2207,7;62
2217,6;64
2227,5;58
2237,4;67
2247,3;62
2257,2;67
2267,1;67
2277;67
2286,9;68
2296,8;61
2306,7;65
2316,6;75
2326,5;87
2336,4;75
2346,3;98
2356,2;92
2366,1;103
2376;111
2385,9;132
2395,8;154
2405,7;162
2415,6;185
2425,5;208
2435,4;225
2445,3;270
2455,2;295
2465,1;330
2475;390
2484,9;471
2494,8;578
2504,7;648
2514,6;753
2524,5;842
2534,4;964
2544,3;1044
2554,2;1188
2564,1;1298
2574;1433
2583,9;1610
2593,8;1713
2603,7;1819
2613,6;1980
2623,5;2044
2633,4;2202
2643,3;2353
2653,2;2465
2663,1;2623
2673;2824
2682,9;2934
2692,8;2932
2702,7;3030
2712,6;3183
2722,5;3328
2732,4;3356
2742,3;3393
2752,2;3570
2762,1;3614
2772;3725
2781,9;3664
2791,8;3742
2801,7;3883
2811,6;3917
2821,5;3878
2831,4;3885
2841,3;3948
2851,2;3855
2861,1;3892
2871;3692
2880,9;3762
2890,8;3717
2900,7;3670
2910,6;3588
2920,5;3713
2930,4;3439
2940,3;3394
2950,2;3181
2960,1;3069
2970;2989
2979,9;2803
2989,8;2760
2999,7;2573
3009,6;2539
3019,5;2370
3029,4;2456
3039,3;2381
3049,2;2167
3059,1;1994
3069;1878
3078,9;1758
3088,8;1689
3098,7;1510
3108,6;1486
3118,5;1392
3128,4;1289
3138,3;1188
3148,2;1078
3158,1;1033
3168;932
3177,9;874
3187,8;801
3197,7;764
3207,6;691
3217,5;627
3227,4;604
3237,3;580
3247,2;522
3257,1;501
3267;471
3276,9;435
3286,8;406
3296,7;370
3306,6;334
3316,5;323
3326,4;306
3336,3;288
3346,2;265
3356,1;256
3366;242
3375,9;220
3385,8;221
3395,7;197
3405,6;198
3415,5;179
3425,4;166
3435,3;154
3445,2;154
3455,1;135
3465;141
3474,9;140
3484,8;128
3494,7;116
3504,6;119
3514,5;115
3524,4;102
3534,3;106
3544,2;94
3554,1;97
3564;99
3573,9;84
3583,8;83
3593,7;83
3603,6;78
3613,5;77
3623,4;77
3633,3;73
3643,2;73
3653,1;66
3663;65
3672,9;65
3682,8;59
3692,7;56
3702,6;53
3712,5;56
3722,4;62
3732,3;54
3742,2;50
3752,1;53
3762;53
3771,9;52
3781,8;52
3791,7;53
3801,6;50
3811,5;66
3821,4;44
3831,3;49
3841,2;55
3851,1;49
3861;55
3870,9;51
3880,8;44
3890,7;47
3900,6;45
3910,5;56
3920,4;51
3930,3;56
3940,2;55
3950,1;51
3960;57
3969,9;49
3979,8;47
3989,7;50
3999,6;46
4009,5;56
4019,4;48
4029,3;53
4039,2;50
4049,1;49
4059;53
4068,9;51
4078,8;55
4088,7;50
4098,6;52
4108,5;50
4118,4;52
4128,3;47
4138,2;52
4148,1;61
4158;47
4167,9;55
4177,8;53
4187,7;55
4197,6;51
4207,5;52
4217,4;45
4227,3;55
4237,2;48
4247,1;53
4257;49
4266,9;57
4276,8;48
4286,7;42
4296,6;49
4306,5;43
4316,4;48
4326,3;54
4336,2;52
4346,1;58
4356;50
4365,9;44
4375,8;54
4385,7;39
4395,6;54
4405,5;49
4415,4;51
4425,3;40
4435,2;54
4445,1;60
4455;57
4464,9;51
4474,8;48
4484,7;42
4494,6;59
4504,5;55
4514,4;53
4524,3;50
4534,2;57
4544,1;48
4554;52
4563,9;53
4573,8;50
4583,7;50
4593,6;52
4603,5;56
4613,4;47
4623,3;53
4633,2;51
4643,1;53
4653;56
4662,9;54
4672,8;58
4682,7;50
4692,6;48
4702,5;59
4712,4;47
4722,3;58
4732,2;47
4742,1;46
4752;52
4761,9;50
4771,8;47
4781,7;55
4791,6;54
4801,5;48
4811,4;56
4821,3;47
4831,2;48
4841,1;43
4851;53
4860,9;51
4870,8;48
4880,7;51
4890,6;48
4900,5;48
4910,4;50
4920,3;49
4930,2;51
4940,1;54
4950;48
4959,9;51
4969,8;46
4979,7;48
4989,6;47
4999,5;41
5009,4;52
5019,3;45
5029,2;53
5039,1;51
5049;47
5058,9;49
5068,8;43
5078,7;44
5088,6;49
5098,5;46
5108,4;55
5118,3;50
5128,2;51
5138,1;45
5148;48
5157,9;51
5167,8;46
5177,7;48
5187,6;49
5197,5;50
5207,4;48
5217,3;47
5227,2;44
5237,1;46
5247;50
5256,9;43
5266,8;43
5276,7;53
5286,6;49
5296,5;40
5306,4;45
5316,3;51
5326,2;47
5336,1;49
5346;39
5355,9;48
5365,8;41
5375,7;44
5385,6;46
5395,5;45
5405,4;49
5415,3;39
5425,2;48
5435,1;46
5445;52
5454,9;54
5464,8;45
5474,7;47
