Date/Time;17/03/2025;10:23:13.933;BEAM_PROFILE_Y
Distance (μm);Intensity (cnts)
0;57
9,9;61
19,8;57
29,7;65
39,6;56
49,5;70
59,4;67
69,3;58
79,2;58
89,1;59
99;51
108,9;65
118,8;62
128,7;55
138,6;59
148,5;56
158,4;58
168,3;59
178,2;54
188,1;65
198;57
207,9;59
217,8;54
227,7;52
237,6;59
247,5;58
257,4;58
267,3;57
277,2;61
287,1;56
297;52
306,9;57
316,8;52
326,7;48
336,6;53
346,5;52
356,4;57
366,3;60
376,2;56
386,1;62
396;55
405,9;56
415,8;54
425,7;58
435,6;58
445,5;53
455,4;59
465,3;56
475,2;58
485,1;57
495;56
504,9;48
514,8;56
524,7;65
534,6;53
544,5;58
554,4;55
564,3;59
574,2;50
584,1;59
594;55
603,9;55
613,8;50
623,7;58
633,6;55
643,5;51
653,4;59
663,3;60
673,2;58
683,1;47
693;54
702,9;56
712,8;60
722,7;55
732,6;56
742,5;58
752,4;50
762,3;49
772,2;51
782,1;47
792;56
801,9;46
811,8;57
821,7;62
831,6;56
841,5;52
851,4;55
861,3;63
871,2;55
881,1;47
891;53
900,9;56
910,8;60
920,7;55
930,6;56
940,5;55
950,4;56
960,3;61
970,2;62
980,1;49
990;50
999,9;57
1009,8;55
1019,7;56
1029,6;54
1039,5;60
1049,4;56
1059,3;71
1069,2;63
1079,1;48
1089;51
1098,9;54
1108,8;53
1118,7;57
1128,6;52
1138,5;56
1148,4;51
1158,3;61
1168,2;52
1178,1;51
1188;54
1197,9;56
1207,8;52
1217,7;56
1227,6;55
1237,5;49
1247,4;52
1257,3;54
1267,2;49
1277,1;53
1287;49
1296,9;51
1306,8;44
1316,7;51
1326,6;51
1336,5;45
1346,4;57
1356,3;54
1366,2;50
1376,1;43
1386;53
1395,9;58
1405,8;53
1415,7;58
1425,6;56
1435,5;56
1445,4;60
1455,3;56
1465,2;54
1475,1;50
1485;49
1494,9;52
1504,8;52
1514,7;60
1524,6;59
1534,5;57
1544,4;57
1554,3;61
1564,2;73
1574,1;73
1584;76
1593,9;76
1603,8;92
1613,7;95
1623,6;95
1633,5;99
1643,4;114
1653,3;119
1663,2;123
1673,1;145
1683;155
1692,9;172
1702,8;202
1712,7;216
1722,6;241
1732,5;270
1742,4;307
